cohort	tree	framework	strategy	task	encoder	model	surv_loss	experiment_id	n_folds	n_fold_dirs	seed	elapsed_s	primary_metric	test_mean	test_std	test_ci_low	test_ci_high	val_mean	val_std	per_fold_test	per_fold_val	mtime	path
tcga_luad	benchmark_5fold	nnmil	standard	kras	hoptimus1	trans_mil		nnmil__standard__kras__hoptimus1__trans_mil__s42	5	5	42	14177.229722316377	auc_roc	0.6535549017970718	0.0537496003839228	0.6086785530109179	0.6964107676969092	0.6572549019607843	0.06471182385080529	[0.5768472906403941, 0.6645064805583251, 0.650049850448654, 0.648554336989033, 0.7278165503489531]	[0.7215686274509804, 0.5529411764705883, 0.6431372549019608, 0.6901960784313725, 0.6784313725490196]	1783640970	nnmil/standard/kras/hoptimus1/trans_mil
tcga_luad	benchmark_5fold	nnmil	standard	kras	uni_v2	simple_mil		nnmil__standard__kras__uni_v2__simple_mil__s42	5	5	42	19544.405127934646	auc_roc	0.6330377340883754	0.07640486565844648	0.577142267777947	0.6959122632103689	0.6172549019607844	0.09374312739130616	[0.5679802955665024, 0.6979062811565304, 0.5832502492522433, 0.5832502492522433, 0.732801595214357]	[0.6352941176470589, 0.49019607843137253, 0.5784313725490196, 0.7470588235294118, 0.6352941176470588]	1783806021	nnmil/standard/kras/uni_v2/simple_mil
tcga_luad	benchmark_5fold	nnmil	standard	kras	uni_v2	trans_mil		nnmil__standard__kras__uni_v2__trans_mil__s42	5	5	42	16456.91121069924	auc_roc	0.5871658914880973	0.04837548019281503	0.5498777558948769	0.6291126620139581	0.6094117647058824	0.13097246659125758	[0.5719211822660099, 0.6510468594217348, 0.5413758723828515, 0.5473579262213359, 0.6241276171485542]	[0.7098039215686275, 0.4019607843137255, 0.5803921568627451, 0.7294117647058824, 0.6254901960784314]	1783643249	nnmil/standard/kras/uni_v2/trans_mil
tcga_luad	benchmark_5fold	nnmil	standard	kras	virchow2	simple_mil		nnmil__standard__kras__virchow2__simple_mil__s42	5	5	42	29268.867462220136	auc_roc	0.6235602551950061	0.08460077818076858	0.5735412481766524	0.7006290488141487	0.5854901960784313	0.10211715008463147	[0.5704433497536946, 0.6221335992023928, 0.5717846460618146, 0.5832502492522432, 0.7701894317048854]	[0.6490196078431372, 0.40588235294117647, 0.6000000000000001, 0.6411764705882352, 0.6313725490196078]	1783806915	nnmil/standard/kras/virchow2/simple_mil
tcga_luad	benchmark_5fold	nnmil	standard	kras	virchow2	trans_mil		nnmil__standard__kras__virchow2__trans_mil__s42	5	5	42	19859.006334936013	auc_roc	0.5909050189333478	0.07169182462501424	0.5348731146462092	0.6469369232204865	0.6192156862745098	0.09489466833106291	[0.5926108374384237, 0.6674975074775674, 0.5, 0.5408773678963111, 0.6535393818544367]	[0.6549019607843137, 0.4627450980392157, 0.6431372549019607, 0.7176470588235294, 0.6176470588235294]	1783646651	nnmil/standard/kras/virchow2/trans_mil
tcga_luad	benchmark_5fold	nnmil	standard	os	hoptimus1	simple_mil	cox	nnmil__standard__os__hoptimus1__simple_mil__s42__cox	5	5	42	9861.747041888942	c_index	0.5992920930246359	0.0782212282545276	0.5352067016853137	0.6561670222389726	0.584974738266868	0.11655791494668545	[0.6656822209096279, 0.6689373297002725, 0.5701917130488559, 0.4800531914893617, 0.6115960099750624]	[0.7370786516853932, 0.6703056768558951, 0.5635103926096998, 0.48546511627906974, 0.46851385390428213]	1784717599	nnmil/standard/os/hoptimus1/simple_mil/cox
tcga_luad	benchmark_5fold	nnmil	standard	os	hoptimus1	simple_mil	nllsurv	nnmil__standard__os__hoptimus1__simple_mil__s42__nllsurv	5	5	42	8074.032896328019	c_index	0.5586566068436745	0.0851927154373649	0.48187946992279446	0.6113583611156118	0.5771335011801035	0.05286886081208961	[0.6184288245717661, 0.6042234332425068, 0.5485466914038343, 0.4142287234042553, 0.60785536159601]	[0.6651685393258427, 0.5502183406113537, 0.5773672055427251, 0.5261627906976745, 0.5667506297229219]	1784715811	nnmil/standard/os/hoptimus1/simple_mil/nllsurv
tcga_luad	benchmark_5fold	nnmil	standard	os	uni_v2	simple_mil	cox	nnmil__standard__os__uni_v2__simple_mil__s42__cox	5	5	42	11416.758425925975	c_index	0.5559722979827547	0.09955427571474307	0.4840205751564043	0.6329080379884824	0.5417349370083052	0.14602095617070468	[0.6993502658003544, 0.5871934604904632, 0.5157699443413729, 0.5498670212765957, 0.42768079800498754]	[0.6786516853932584, 0.6441048034934498, 0.6189376443418014, 0.3866279069767442, 0.380352644836272]	1784719155	nnmil/standard/os/uni_v2/simple_mil/cox
tcga_luad	benchmark_5fold	nnmil	standard	os	uni_v2	simple_mil	nllsurv	nnmil__standard__os__uni_v2__simple_mil__s42__nllsurv	5	5	42	9476.912035886955	c_index	0.5902703460035733	0.08924237434396595	0.5127445078585748	0.6485510331370474	0.5627899026658605	0.06785317123172215	[0.6721795629060838, 0.6178474114441417, 0.5782312925170068, 0.4428191489361702, 0.6402743142144638]	[0.6629213483146067, 0.537117903930131, 0.5173210161662818, 0.49709302325581395, 0.5994962216624685]	1784717214	nnmil/standard/os/uni_v2/simple_mil/nllsurv
tcga_luad	benchmark_5fold	nnmil	standard	os	virchow2	simple_mil	cox	nnmil__standard__os__virchow2__simple_mil__s42__cox	5	5	42	10507.397266959888	c_index	0.561365397678907	0.10144040557272901	0.48362898174700353	0.6392356621131634	0.5854296000571847	0.12905298593929157	[0.6946249261665682, 0.6185286103542235, 0.44774273345701915, 0.4767287234042553, 0.5692019950124688]	[0.7325842696629213, 0.6986899563318777, 0.5519630484988453, 0.5232558139534884, 0.42065491183879095]	1784718245	nnmil/standard/os/virchow2/simple_mil/cox
tcga_luad	benchmark_5fold	nnmil	standard	os	virchow2	simple_mil	nllsurv	nnmil__standard__os__virchow2__simple_mil__s42__nllsurv	5	5	42	9849.91928537999	c_index	0.5939619051505604	0.04617337779899737	0.5540021918583515	0.6289378147515585	0.6134306342302603	0.09550646423249003	[0.6491435321913762, 0.6001362397820164, 0.5844155844155844, 0.5232712765957447, 0.6128428927680798]	[0.7213483146067415, 0.4737991266375546, 0.6073903002309469, 0.6802325581395349, 0.5843828715365239]	1784717587	nnmil/standard/os/virchow2/simple_mil/nllsurv
tcga_luad	benchmark_5fold	titan	standard	kras	titan	titan		titan__standard__kras__titan__titan__s42	5	5	42	207.0601704120636	auc_roc	0.6143861027754175	0.06853996122122771	0.5616151545363908	0.6729850080300969	0.6498039215686275	0.06098322923858668	[0.612807881773399, 0.6246261216350947, 0.5343968095712861, 0.580259222333001, 0.7198404785643071]	[0.6372549019607844, 0.5980392156862745, 0.7000000000000001, 0.7254901960784313, 0.5882352941176471]	1785028991	titan/standard/kras/titan/titan
tcga_luad	benchmark_5fold	titan	standard	os	titan	titan	cox	titan__standard__os__titan__titan__s42__cox	5	5	42	108.27397465705872	c_index	0.5553281838136777	0.05717059431943062	0.5102671910604875	0.5971620553416477	0.5801538761022851	0.05221284375182506	[0.61193148257531, 0.603542234332425, 0.5355596784168213, 0.47074468085106386, 0.5548628428927681]	[0.5078651685393258, 0.5982532751091703, 0.5542725173210161, 0.5930232558139535, 0.6473551637279596]	1785029102	titan/standard/os/titan/titan/cox
tcga_luad	benchmark_5fold	titan	standard	os	titan	titan	nllsurv	titan__standard__os__titan__titan__s42__nllsurv	5	5	42	102.62989354133606	c_index	0.5499070963700484	0.05018246648962971	0.5112456817761821	0.5876163666931242	0.5159666022932281	0.10719053862915692	[0.5729474305965742, 0.4925068119891008, 0.5640074211502782, 0.5059840425531915, 0.6140897755610972]	[0.5370786516853933, 0.39956331877729256, 0.4295612009237875, 0.5436046511627907, 0.6700251889168766]	1785029208	titan/standard/os/titan/titan/nllsurv
